team,no,name,birth,height,weight,throw,bat,position,note
横浜DeNAベイスターズ,24,吉野　光樹,1998.07.19,176,80,右,右,投手,
横浜DeNAベイスターズ,27,藤浪　晋太郎,1994.04.12,197,98,右,右,投手,
横浜DeNAベイスターズ,30,篠木　健太郎,2002.05.07,177,80,右,左,投手,
横浜DeNAベイスターズ,33,武田　陸玖,2005.06.06,173,78,左,左,投手,
横浜DeNAベイスターズ,35,橋本　達弥,2000.07.18,181,84,右,右,投手,
横浜DeNAベイスターズ,36,尾形　崇斗,1999.05.15,182,90,右,左,投手,5/13 ソフトバンクより移籍
横浜DeNAベイスターズ,38,松本　凌人,2001.12.05,185,92,右,右,投手,
横浜DeNAベイスターズ,39,若松　尚輝,2000.05.10,184,93,右,右,投手,
横浜DeNAベイスターズ,41,佐々木　千隼,1994.06.08,181,83,右,右,投手,
横浜DeNAベイスターズ,42,ビド,1995.10.18,190,79,右,右,投手,6/16 支配下選手登録
横浜DeNAベイスターズ,43,深沢　鳳介,2003.11.05,177,80,右,右,投手,
横浜DeNAベイスターズ,45,森原　康平,1991.12.26,185,88,右,左,投手,
横浜DeNAベイスターズ,46,坂口　翔颯,2002.09.12,180,84,右,右,投手,
横浜DeNAベイスターズ,47,片山　皓心,1998.10.31,175,84,左,左,投手,
横浜DeNAベイスターズ,49,ルイーズ,1994.10.21,185,111,右,右,投手,
横浜DeNAベイスターズ,52,浜地　真澄,1998.05.25,185,88,右,右,投手,7/10 育成選手から支配下選手へ移行
横浜DeNAベイスターズ,53,中川　颯,1998.10.10,184,80,右,左,投手,
横浜DeNAベイスターズ,54,石田　裕太郎,2002.01.22,180,80,右,右,投手,
横浜DeNAベイスターズ,59,平良　拳太郎,1995.07.12,180,80,右,右,投手,
横浜DeNAベイスターズ,62,レイノルズ,1998.04.19,203,113,右,左,投手,
横浜DeNAベイスターズ,64,中川　虎大,1999.10.02,178,85,右,右,投手,
横浜DeNAベイスターズ,65,宮城　滝太,2000.07.15,181,80,右,右,投手,
横浜DeNAベイスターズ,68,岩田　将貴,1998.06.16,178,81,左,左,投手,
横浜DeNAベイスターズ,92,堀岡　隼人,1998.09.11,183,87,右,右,投手,
